S/N,STATE,SENATORIAL ZONE,LGA,WARD,PU,DELIMITATION
1,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KATAKO,31/01/01/001
2,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ST. MARKS PRIM. SCH. I,31/01/01/002
3,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE,31/01/01/003
4,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE TASHA 1,31/01/01/004
5,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI 1,31/01/01/005
6,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI  11,31/01/01/006
7,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,TAKWOK/KWOK,31/01/01/007
8,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ANGWAN SARKI,31/01/01/008
9,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,SABON LAYI 1,31/01/01/009
10,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,SABON LAYI 11,31/01/01/010
11,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAFI ABU,31/01/01/011
12,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KASHANGWOL,31/01/01/012
13,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,ST. MARKS PRIM. SCH. 11,31/01/01/013
14,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,GANGARE TASHA 11,31/01/01/014
15,PLATEAU,NORTHERN,BARIKIN LADI,Barakin ladi,KAMPANI 111,31/01/01/015
16,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,GASSA EKAN SCHOOL,31/01/02/001
17,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,JAL VILLAGE,31/01/02/002
18,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,SHO VILLAGE,31/01/02/003
19,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,BEL VILLAGE,31/01/02/004
20,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,REHOOT,31/01/02/005
21,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,RARING,31/01/02/006
22,PLATEAU,NORTHERN,BARIKIN LADI,Gassa/sho,RAKUNG VILLAGE,31/01/02/007
